Year,Team,2005,Last 3 Games Win %,Last Game Win %,Home,Away
2006,Detroit,0.74,0.333,0.0,0.882,0.5920000000000001
2006,San Antonio,0.737,0.667,0.0,0.812,0.66
2006,Dallas,0.705,0.0,0.0,0.8079999999999999,0.604
2006,Miami,0.648,1.0,1.0,0.792,0.5
2006,Phoenix,0.627,0.333,0.0,0.731,0.52
2006,Cleveland,0.6,0.333,0.0,0.745,0.458
2006,Brooklyn,0.581,0.0,0.0,0.674,0.489
2006,LA Clippers,0.575,0.333,0.0,0.6809999999999999,0.468
2006,Memphis,0.57,0.0,0.0,0.698,0.442
2006,LA Lakers,0.539,0.0,0.0,0.659,0.422
2006,Sacramento,0.523,0.333,0.0,0.659,0.386
2006,Denver,0.517,0.333,0.0,0.628,0.409
2006,Utah,0.5,0.333,1.0,0.537,0.463
2006,Washington,0.5,0.333,0.0,0.636,0.364
2006,Chicago,0.489,0.333,0.0,0.523,0.455
2006,Indiana,0.489,0.0,0.0,0.636,0.341
2006,Milwaukee,0.471,0.333,0.0,0.605,0.341
2006,New Orleans,0.463,0.0,0.0,0.585,0.342
2006,Philadelphia,0.463,0.333,0.0,0.561,0.366
2006,Orlando,0.439,0.333,0.0,0.634,0.244
2006,Okla City,0.4270000000000001,0.667,1.0,0.537,0.317
2006,Houston,0.415,0.333,0.0,0.366,0.463
2006,Golden State,0.415,0.667,0.0,0.512,0.317
2006,Minnesota,0.402,0.0,0.0,0.585,0.22
2006,Boston,0.402,0.333,1.0,0.512,0.293
2006,Toronto,0.329,0.333,0.0,0.366,0.293
2006,Atlanta,0.317,0.667,0.0,0.439,0.195
2006,Charlotte,0.317,1.0,1.0,0.415,0.22
2006,New York,0.281,0.333,1.0,0.366,0.195
2006,Portland,0.256,0.0,0.0,0.366,0.146
