Year,Team,2012,Last 3 Games Win %,Last Game Win %,Home,Away
2013,Miami,0.779,0.667,1.0,0.868,0.6859999999999999
2013,San Antonio,0.716,0.333,0.0,0.843,0.588
2013,Okla City,0.6990000000000001,0.0,0.0,0.787,0.609
2013,Denver,0.67,0.333,0.0,0.909,0.4320000000000001
2013,Memphis,0.66,0.0,0.0,0.7709999999999999,0.551
2013,LA Clippers,0.659,0.0,0.0,0.773,0.545
2013,New York,0.638,0.333,0.0,0.745,0.532
2013,Indiana,0.6,0.333,0.0,0.76,0.44
2013,Brooklyn,0.584,0.667,0.0,0.622,0.545
2013,Golden State,0.564,0.333,0.0,0.6809999999999999,0.447
2013,Houston,0.534,0.667,0.0,0.682,0.386
2013,Chicago,0.532,0.0,0.0,0.565,0.5
2013,Utah,0.524,0.667,0.0,0.732,0.317
2013,LA Lakers,0.523,0.0,0.0,0.674,0.3720000000000001
2013,Atlanta,0.523,0.333,0.0,0.614,0.4320000000000001
2013,Dallas,0.5,0.667,1.0,0.585,0.415
2013,Boston,0.494,0.667,0.0,0.6509999999999999,0.341
2013,Milwaukee,0.442,0.0,0.0,0.488,0.395
2013,Toronto,0.415,1.0,1.0,0.512,0.317
2013,Philadelphia,0.415,0.667,1.0,0.561,0.268
2013,Portland,0.402,0.0,0.0,0.537,0.268
2013,Minnesota,0.378,0.667,1.0,0.488,0.268
2013,Washington,0.354,0.0,0.0,0.537,0.171
2013,Detroit,0.354,0.667,0.0,0.439,0.268
2013,Sacramento,0.342,0.0,0.0,0.488,0.195
2013,New Orleans,0.329,0.0,0.0,0.39,0.268
2013,Phoenix,0.305,0.333,0.0,0.415,0.195
2013,Cleveland,0.293,0.0,0.0,0.342,0.244
2013,Charlotte,0.256,1.0,1.0,0.366,0.146
2013,Orlando,0.244,0.0,0.0,0.293,0.195
