Year,Team,2010,Last 3 Games Win %,Last Game Win %,Home,Away
2011,Chicago,0.725,0.0,0.0,0.84,0.604
2011,San Antonio,0.716,0.333,0.0,0.8640000000000001,0.568
2011,Dallas,0.706,0.667,1.0,0.731,0.68
2011,Miami,0.706,0.333,0.0,0.765,0.647
2011,Boston,0.67,0.333,0.0,0.8,0.5429999999999999
2011,LA Lakers,0.6629999999999999,0.0,0.0,0.696,0.63
2011,Okla City,0.6459999999999999,0.0,0.0,0.72,0.5710000000000001
2011,Orlando,0.614,0.333,0.0,0.705,0.523
2011,Denver,0.586,0.333,0.0,0.7909999999999999,0.386
2011,Portland,0.568,0.333,0.0,0.727,0.409
2011,Memphis,0.5579999999999999,0.333,0.0,0.745,0.375
2011,New Orleans,0.545,0.333,0.0,0.659,0.4320000000000001
2011,Atlanta,0.532,0.333,0.0,0.596,0.468
2011,Houston,0.524,0.667,1.0,0.61,0.439
2011,New York,0.488,0.0,0.0,0.535,0.442
2011,Phoenix,0.488,0.667,1.0,0.561,0.415
2011,Philadelphia,0.483,0.333,0.0,0.628,0.341
2011,Utah,0.476,0.667,1.0,0.512,0.439
2011,Golden State,0.439,0.333,1.0,0.634,0.244
2011,Indiana,0.4370000000000001,0.333,0.0,0.581,0.295
2011,Milwaukee,0.4270000000000001,1.0,1.0,0.537,0.317
2011,Charlotte,0.415,0.667,1.0,0.512,0.317
2011,LA Clippers,0.39,0.333,1.0,0.561,0.22
2011,Detroit,0.366,0.667,1.0,0.512,0.22
2011,Sacramento,0.293,0.333,0.0,0.268,0.317
2011,Brooklyn,0.293,0.0,0.0,0.463,0.122
2011,Washington,0.281,0.667,0.0,0.488,0.073
2011,Toronto,0.268,0.333,0.0,0.39,0.146
2011,Cleveland,0.232,0.667,1.0,0.293,0.171
2011,Minnesota,0.207,0.0,0.0,0.293,0.122
