Year,Team,2014,Last 3 Games Win %,Last Game Win %,Home,Away
2015,Golden State,0.804,0.667,1.0,0.923,0.68
2015,Atlanta,0.6940000000000001,0.0,0.0,0.816,0.5710000000000001
2015,Cleveland,0.6629999999999999,0.333,0.0,0.76,0.569
2015,Houston,0.657,0.333,0.0,0.74,0.5710000000000001
2015,LA Clippers,0.6559999999999999,0.0,0.0,0.708,0.604
2015,Memphis,0.6559999999999999,0.0,0.0,0.745,0.565
2015,San Antonio,0.652,0.333,0.0,0.773,0.5329999999999999
2015,Portland,0.598,0.333,0.0,0.767,0.4320000000000001
2015,Chicago,0.596,0.0,0.0,0.638,0.5529999999999999
2015,Dallas,0.586,0.333,0.0,0.6509999999999999,0.523
2015,Toronto,0.57,0.0,0.0,0.628,0.512
2015,Washington,0.565,0.0,0.0,0.696,0.435
2015,Okla City,0.5489999999999999,0.667,1.0,0.7070000000000001,0.39
2015,New Orleans,0.523,0.0,0.0,0.6509999999999999,0.395
2015,Milwaukee,0.489,0.667,0.0,0.535,0.444
2015,Phoenix,0.476,0.0,0.0,0.537,0.415
2015,Boston,0.465,0.0,0.0,0.488,0.442
2015,Utah,0.463,0.667,0.0,0.512,0.415
2015,Indiana,0.463,0.667,0.0,0.561,0.366
2015,Brooklyn,0.455,0.333,0.0,0.477,0.4320000000000001
2015,Miami,0.451,0.667,1.0,0.488,0.415
2015,Charlotte,0.402,0.0,0.0,0.463,0.342
2015,Detroit,0.39,0.667,1.0,0.439,0.342
2015,Denver,0.366,0.333,0.0,0.463,0.268
2015,Sacramento,0.354,0.667,1.0,0.439,0.268
2015,Orlando,0.305,0.0,0.0,0.317,0.293
2015,LA Lakers,0.256,0.0,0.0,0.293,0.22
2015,Philadelphia,0.22,0.0,0.0,0.293,0.146
2015,New York,0.207,0.667,0.0,0.244,0.171
2015,Minnesota,0.195,0.0,0.0,0.225,0.16699999999999998
