Year,Team,2011,Last 3 Games Win %,Last Game Win %,Home,Away
2012,San Antonio,0.75,0.0,0.0,0.85,0.65
2012,Chicago,0.722,0.333,0.0,0.778,0.667
2012,Okla City,0.706,0.0,0.0,0.8140000000000001,0.595
2012,Miami,0.693,1.0,1.0,0.8440000000000001,0.535
2012,Indiana,0.623,0.0,0.0,0.667,0.579
2012,Memphis,0.603,0.667,0.0,0.757,0.444
2012,LA Lakers,0.59,0.333,0.0,0.769,0.41
2012,Atlanta,0.583,0.333,0.0,0.6940000000000001,0.472
2012,Boston,0.581,0.333,0.0,0.7440000000000001,0.419
2012,LA Clippers,0.5710000000000001,0.0,0.0,0.684,0.462
2012,Denver,0.562,0.667,0.0,0.611,0.513
2012,Orlando,0.535,0.0,0.0,0.6,0.472
2012,Philadelphia,0.532,0.333,0.0,0.615,0.45
2012,New York,0.521,0.333,0.0,0.657,0.389
2012,Houston,0.515,0.667,1.0,0.667,0.364
2012,Dallas,0.514,0.0,0.0,0.657,0.371
2012,Utah,0.514,0.0,0.0,0.7140000000000001,0.314
2012,Phoenix,0.5,0.0,0.0,0.5760000000000001,0.424
2012,Milwaukee,0.47,0.333,0.0,0.515,0.424
2012,Portland,0.424,0.0,0.0,0.606,0.242
2012,Minnesota,0.394,0.333,0.0,0.394,0.394
2012,Detroit,0.379,0.667,1.0,0.545,0.212
2012,Toronto,0.348,0.333,1.0,0.394,0.303
2012,Golden State,0.348,0.333,0.0,0.364,0.333
2012,Sacramento,0.333,0.667,1.0,0.485,0.182
2012,Brooklyn,0.333,0.0,0.0,0.273,0.394
2012,Cleveland,0.318,0.0,0.0,0.333,0.303
2012,New Orleans,0.318,0.333,0.0,0.333,0.303
2012,Washington,0.303,1.0,1.0,0.333,0.273
2012,Charlotte,0.106,0.0,0.0,0.121,0.091
