Year,Team,2013,Last 3 Games Win %,Last Game Win %,Home,Away
2014,San Antonio,0.74,0.667,1.0,0.792,0.6859999999999999
2014,Okla City,0.6829999999999999,0.333,0.0,0.784,0.58
2014,Miami,0.6629999999999999,0.333,0.0,0.784,0.54
2014,LA Clippers,0.6629999999999999,0.333,0.0,0.792,0.532
2014,Indiana,0.653,0.333,0.0,0.784,0.52
2014,Houston,0.636,0.333,0.0,0.773,0.5
2014,Portland,0.634,0.333,0.0,0.7390000000000001,0.532
2014,Golden State,0.607,0.333,0.0,0.659,0.556
2014,Memphis,0.596,0.333,0.0,0.636,0.556
2014,Phoenix,0.585,0.333,1.0,0.634,0.537
2014,Dallas,0.584,0.333,0.0,0.636,0.5329999999999999
2014,Toronto,0.573,0.333,0.0,0.622,0.523
2014,Chicago,0.563,0.333,0.0,0.614,0.512
2014,Washington,0.5379999999999999,0.333,0.0,0.5,0.575
2014,Brooklyn,0.521,0.333,0.0,0.674,0.375
2014,Charlotte,0.5,0.0,0.0,0.581,0.419
2014,Minnesota,0.488,0.0,0.0,0.585,0.39
2014,Atlanta,0.461,0.333,0.0,0.581,0.348
2014,New York,0.451,1.0,1.0,0.463,0.439
2014,Denver,0.439,0.333,0.0,0.537,0.342
2014,New Orleans,0.415,0.667,1.0,0.537,0.293
2014,Cleveland,0.402,0.333,1.0,0.463,0.342
2014,Detroit,0.354,0.0,0.0,0.415,0.293
2014,Sacramento,0.342,0.333,0.0,0.415,0.268
2014,LA Lakers,0.329,0.667,1.0,0.342,0.317
2014,Boston,0.305,0.333,0.0,0.39,0.22
2014,Utah,0.305,0.333,1.0,0.39,0.22
2014,Orlando,0.281,0.0,0.0,0.463,0.098
2014,Philadelphia,0.232,0.667,1.0,0.244,0.22
2014,Milwaukee,0.183,0.0,0.0,0.244,0.122
